Discontinuidad	Grupo	Nombre	Cantidad	Valorizado[CR al 16/05/26]	Monto de ventas	Ventas - Valorizado[CR al 16/05/26]
DISC	CORSETERIA	LARA	30	187847.6	317660.56	129812.96
LINEA	BOMBACHAS	LARA	35	101500	177929.5	76429.5
DISC	PACKB	LARA	13	41160.86	56790.34	15629.48
PROMO	CORSETERIA	LARA	2	11185.2	14000	2814.8
Subtotal 2:	LARA	 	703	4475093.66	7287427.47	2812333.81
LINEA	MEDIAS	COA COA	3200	4078478.89	6634369.39	2555890.5
LINEA	BOXER	COA COA	62	186000	388350	202350
Subtotal 2:	COA COA	 	3262	4264478.89	7022719.39	2758240.5
LINEA	BOXER	BAKHOU	835	3807850	6712977.85	2905127.85
PROMO	BOXER	BAKHOU	56	175597.99	346900	171302.01
LINEA	ACCESORIOS	BAKHOU	10	50000	80437.5	30437.5
DISC	ROPA	BAKHOU	3	23142.72	39695	16552.28
DISC	BOXER	BAKHOU	2	6044.86	13000	6955.14
Subtotal 2:	BAKHOU	 	906	4062635.57	7193010.35	3130374.78
LINEA	MEDIAS	COCOT	783	1348078.27	2698314.58	1350236.31
DISC	ROPA	COCOT	82	855226.91	1655220	799993.09
PROMO	MEDIAS	COCOT	229	395941.95	823968.2	428026.25
PROMO	PIJAMAS	COCOT	28	361900.8	591000	229099.2
LINEA	BOMBACHAS	COCOT	85	229658.63	437617.25	207958.62
LINEA	CORSETERIA	COCOT	20	209502.03	435276.5	225774.47
DISC	CORSETERIA	COCOT	12	77046.77	131440.5	54393.73
PROMO	BOXER	COCOT	40	75900	143270	67370
DISC	PACKB	COCOT	9	56178.81	83889.2	27710.39
LINEA	ROPA	COCOT	3	20356	54250	33894
PROMO	ROPA	COCOT	1	4500	10000	5500
Subtotal 2:	COCOT	 	1292	3634290.17	7064246.23	3429956.06
LINEA	PACKB	GABELA	665	2549100	4913179.04	2364079.04
LINEA	CORSETERIA	GABELA	202	761600	1510762.8	749162.8
Subtotal 2:	GABELA	 	867	3310700	6423941.84	3113241.84
LINEA	CORSETERIA	EXCLUSIVE	112	2002990.82	3885036.99	1882046.17
DISC	CORSETERIA	EXCLUSIVE	57	914581.81	1925141.25	1010559.44
AEP	CORSETERIA	EXCLUSIVE	13	134743.39	268650	133906.61
DISC	BOMBACHAS	EXCLUSIVE	9	46758.69	88835	42076.31
LINEA	ACCESORIOS	EXCLUSIVE	4	25960.52	54841.5	28880.98
LINEA	PIJAMAS	EXCLUSIVE	-4	-119962.4	-176320	-56357.6
Subtotal 2:	EXCLUSIVE	 	191	3005072.83	6046184.74	3041111.91
LINEA	CORSETERIA	NATUBEL	106	681721.56	1201820.9	520099.34
PROMO	CORSETERIA	NATUBEL	75	374998.4	758800	383801.6
DISC	CORSETERIA	NATUBEL	54	332863.95	589372.28	256508.33
PROMO	BOXER	NATUBEL	58	212306.04	368450	156143.96
LINEA	PACKB	NATUBEL	28	183634.38	338550.9	154916.52
DISC	PACKB	NATUBEL	23	118081.6	228979.55	110897.95
LINEA	BOXER	NATUBEL	14	55087.2	84820	29732.8
DISC	BOMBACHAS	NATUBEL	5	27000	53568	26568
	BOMBACHAS	NATUBEL	4	24441.39	41420	16978.61
PROMO	PACKB	NATUBEL	12	20400	50964.61	30564.61
DISC	BOXER	NATUBEL	4	19996	32750	12754
Subtotal 2:	NATUBEL	 	383	2050530.52	3749496.24	1698965.72
LINEA	BOXER	ACROBATA	261	1466058.17	2686950	1220891.83
Subtotal 2:	ACROBATA	 	261	1466058.17	2686950	1220891.83
LINEA	CORSETERIA	DENNY	129	767532.08	1542088.71	774556.63
LINEA	PACKB	DENNY	60	177612	388464.25	210852.25
PROMO	CORSETERIA	DENNY	-12	-60000	-82950	-22950
Subtotal 2:	DENNY	 	177	885144.08	1847602.96	962458.88
LINEA	PACKB	VELLA	198	680107.94	1183447.1	503339.16
LINEA	CORSETERIA	VELLA	28	162260	327868.3	165608.3
Subtotal 2:	VELLA	 	226	842367.94	1511315.4	668947.46
PROMO	BOXER	CIUDADELA	247	573287	911820.2	338533.2
Subtotal 2:	CIUDADELA	 	247	573287	911820.2	338533.2
	PACKB	VARIOS	38	190000	408465	218465
LINEA	BOXER	VARIOS	24	121000	184905	63905
PROMO	ACCESORIOS	VARIOS	53	114550	245333.5	130783.5
PROMO	PACKB	VARIOS	61	109800	174500	64700
PROMO	CORSETERIA	VARIOS	3	7500	15250	7750
Subtotal 2:	VARIOS	 	179	542850	1028453.5	485603.5
PROMO	CORSETERIA	FAIRUZ	24	82800	183200	100400
LINEA	CORSETERIA	FAIRUZ	9	73276.8	133342.5	60065.7
PROMO	PACKB	FAIRUZ	24	72000	122250	50250
Subtotal 2:	FAIRUZ	 	57	228076.8	438792.5	210715.7
LINEA	PIJAMAS	YENADI	20	196938	300000	103062
Subtotal 2:	YENADI	 	20	196938	300000	103062
LINEA	CORSETERIA	AVRIL KAURY	24	117191.23	204051.86	86860.63
DISC	CORSETERIA	AVRIL KAURY	8	39666.17	63025.93	23359.76
PROMO	PACKB	AVRIL KAURY	1	2437.66	10000	7562.34
Subtotal 2:	AVRIL KAURY	 	33	159295.06	277077.79	117782.73
LINEA	PACKB	INTIMILU	39	144665	292008.85	147343.85
Subtotal 2:	INTIMILU	 	39	144665	292008.85	147343.85
DISC	MEDIAS	MORA	35	87652.81	200105	112452.19
PROMO	MEDIAS	MORA	7	7700	14500	6800
LINEA	MEDIAS	MORA	1	1349	4000	2651
Subtotal 2:	MORA	 	43	96701.81	218605	121903.19
LINEA	BOXER	UOMO	9	48195.99	77200	29004.01
DISC	BOXER	UOMO	9	46831.44	83700	36868.56
Subtotal 2:	UOMO	 	18	95027.43	160900	65872.57
LINEA	BOXER	KAURY MEN	8	33550.4	68000	34449.6
PROMO	BOXER	KAURY MEN	7	29684.7	50000	20315.3
DISC	BOXER	KAURY MEN	1	4185.1	7000	2814.9
Subtotal 2:	KAURY MEN	 	16	67420.2	125000	57579.8
	CORSETERIA	TAKKI	17	47685	99000	51315
LINEA	PACKB	TAKKI	4	16850.4	26043.75	9193.35
Subtotal 2:	TAKKI	 	21	64535.4	125043.75	60508.35
PROMO	BOXER	ZORBA	9	13950	28000.02	14050.02
Subtotal 2:	ZORBA	 	9	13950	28000.02	14050.02
DISC	CORSETERIA	AIAM	2	5670	15260	9590
Subtotal 2:	AIAM	 	2	5670	15260	9590
LINEA	BOMBACHAS	LEBNEN	2	2000	5250	3250
Subtotal 2:	LEBNEN	 	2	2000	5250	3250
